,District,Taluk,% Angawadis in rented building,%Anganwadis in Own building,No.of Anganawadi Workers,No. of Anganawadi Helpers,% children in Anganwadi,Sites available for Urban Anagwadi (as per GIS 2022-23),Per Capita Income (at constant prices),Total children age 6-23 months receiving an adequate diet (%),Children under age 3 years breastfed within one hour of birth(%),Children with diarrhoea  who received oral rehydration salts (ORS)(%),Children under 5 years who are underweight (weight-for-age) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),Medical officer-MBBS - Deficit,Health Assistant (male/female) - Deficit,Deprivation % - Households with Not even one household member has completed six years of schooling.,Deprivation % - Households with Any school age children not attending school (6-14),"Deprivation % - Households that have inadequate housing material in either floor, roofor wall",Deprivation % - Households that cook using solid fuel,Deprivation % - Households with no safe drinking water or 30 min away,Deprivation % - Households that have no electricity,Deprivation % - Households with no sanitation facility,Deprivation % - No household member has a bank account or a post office account.,Children age 6 to 59 months who are stunted (height-for-age) (%),Children age 6 to 59 months who are severely wasted (weight-for-height) (%),Children under age 6 months exclusively breastfed(%),Children age 9-35 months who received a vitamin A dose(%),children low birth weight (%),Number of total notification case of Tuberculosis,Children age 12-23 months fully vaccinated based(%),Received Health Insurance (%),Gap in CHC Doctor,Gap in CHC Labtech,Gap in CHC pharmacist,Gap in CHC Staff Nurse( 1shift),Gap in PHC Doctor,Gap in PHC Labtech,Gap in PHC Pharmacist,Gap in PHC Staff Nurse,Number of Asha Working_Per_1000_Population,Number of CHO Working_Per_1000_Population,Gap in number of Subcentre,Gap in number of PHC,Gap in number of CHC,Under5_mortality (per 1000),MMR  (per 1 lakh),infantmortality_Neg,% Adolescent girls aged 15-19 years who are anaemic (%),%Pregnant women age 15-49 years who are anaemic ,%Children age 6-59 months who are anaemic (%),Prevalence of diarrhoea under 5 years of age (%),No. of Anganwadis/UPHCs have conducted at least one Village Health Sanitation & Nutrition day / Urban Health Sanitation & Nutrit,Deprivation % - Households with adult between 15-49 whose BMI is below normal or children under 5 years who are stunted or waste,Deprivation % - Households with with any woman has not received at least 4 antenatal care visits for the most recent birth or ha
38,Chitradurga,Challakere,7.346938775510205,76.93877551020408,475.0,469.0,84.7727714538612,11.30232558139535,118585.0,11.80525173611111,35.80151821145125,100.0,35.60976344257594,40.14355601615646,2.0,26.953846153846154,10.8675,0.1132,47.6177,17.8105,5.4318,0.1673,49.7131,1.0596,37.99836,5.913619,76.26173,42.43694,42.40926,529.0,94.75454,34.97722,4.0,5.0,3.0,4.0,2.0,3.0,7.0,8.0,0.831484,0.077639,11.7006,-3.0,1.0,12.641824981675217,56.23358931443623,2.538793069727891,31.9232244720805,39.01099537037037,62.09581784703556,6.065923,490.0,34.3614,9.3762
39,Chamarajanagara,Chamarajanagara,13.837638376383765,81.18081180811808,516.0,454.0,68.89157296491885,11.30232558139535,1392252.0,3.06155407899594,32.42673326251874,65.18514673311185,17.69886698219339,27.57639786103931,4.0,15.0,13.256,1.6428,36.6689,11.0002,1.3132,1.3496,26.2406,1.2624,42.86266,1.247854,54.86725,38.94397,39.23556,353.0,95.24225,40.36418,-7.0,2.0,2.0,-5.0,1.0,11.0,18.0,15.0,0.719221,0.194242,43.86433,-4.0,3.0,12.641824981675217,23.349983379565955,57.09282973421927,50.20602053600393,46.91375968992248,64.24433198128986,3.254583,542.0,29.4558,4.795
40,Davanagere,Channagiri,10.918114143920596,82.38213399503722,403.0,383.0,86.29766312770863,1.0,136427.0,8.998318551768005,53.46315202424321,56.96851418162893,35.66354349306511,28.4388457265116,3.0,3.0,5.3505,0.0822,40.4933,21.9897,6.8222,1.408,16.1727,3.8499,31.06107,2.433247,78.25114,51.36366,43.57477,277.0,73.49922,43.06413,6.0,8.0,4.0,7.0,-0.32888888888888895,3.0,11.0,25.0,0.881974,0.127327,34.051,-10.0,1.0,33.929166389018455,133.72508587612765,79.3570151183971,42.10271225976729,17.40822057420419,68.78115437347097,9.553839,403.0,26.9414,10.1501
41,Ramanagar,Channapatna,20.35928143712575,63.17365269461078,321.0,276.0,60.4153998208011,6.0,176826.0,6.989862351190475,52.83472083988266,45.25189112103175,20.05353968844482,23.52920583742755,9.0375,26.953846153846154,9.2734,0.0589,25.994,10.6366,2.2216,0.4418,11.3645,2.2552,11.09656,8.986028,69.6328,33.16698,16.71754,272.0,71.90538,41.93922,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,4.0,3.0,19.0,0.706907,0.13270830128205127,-5.2642,-8.0,2.0,12.641824981675217,57.563134571901436,36.303506946873114,56.58678931642101,57.95820932539682,49.37462428500994,2.016338,334.0,19.7501,3.5469
42,Hassan,Channarayapatna,7.848101265822785,73.9240506329114,394.0,367.0,49.89448804414887,11.30232558139535,184861.0,11.3906620587896,57.22597891026226,44.54011661328735,29.50397888583864,37.90961691607743,1.0,47.0,8.0542,0.2952,43.4008,18.3174,2.0047,0.3493,17.6142,1.397,21.78884,3.268713,79.38087,59.37519,52.44031,164.0,35.8306,35.94574,1.3911111111111112,11.0,6.0,8.0,1.0,15.0,17.0,43.0,0.803249,0.13270830128205127,-32.386,-18.0,-2.0,1.0364481423820395,43.69520441035921,1.082463221060782,31.74321608457787,45.72514488673026,44.68971032906234,2.677541,395.0,21.4216,5.9617
43,Chikballapur,Chikballapur,20.983606557377048,61.31147540983607,305.0,281.0,75.73864566296147,1.0,194130.0,13.76348452775084,36.1829337200067,31.51337491011404,14.64211087490073,13.15063157454462,2.0,13.0,9.0149,2.0501,28.5223,6.3191,13.3548,0.0178,10.9208,3.5811,13.7517,6.002145,69.90615,33.02931,29.77176,279.0,75.23782,24.41861,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,3.9599999999999995,2.0,-2.0,0.706854,0.113601,17.4486,-1.486725663716814,2.0,12.641824981675217,58.725307116716,21.01939211819618,31.8468522837515,77.10007660415269,53.96395928310505,2.728691,305.0,31.1782,0.4881
44,Belagavi,Chikkodi,69.1358024691358,51.85185185185185,237.0,224.0,46.38509644789436,2.0,132353.0,6.512762762762762,56.64565713672856,98.53603603603604,20.74660536283344,22.29368099159765,1.0,7.0,3.9444,4.3958,28.0123,14.2092,7.6079,0.5033,20.5318,2.3869,34.12426,5.02002,52.50722,52.35607,36.1224,371.0,64.88645,25.39838,2.0,8.0,3.0,6.0,1.0,4.0,1.0,5.0,0.727862,0.053499,31.5706,2.0,1.0,0.8800717559875567,39.045189817944475,9.784408783783785,51.91691691691692,21.47147147147147,68.2010662219717,7.873354,243.0,38.6184,10.3102
45,Chikmagalur,Chikmagalur,6.598984771573605,85.53299492385787,382.0,363.0,57.44897173846019,21.0,270459.0,4.814918154761905,61.45626239632006,71.13870287698413,21.614311204806,11.86327501679683,4.0,14.0,3.7661,2.6959,39.1312,24.7297,4.429,0.1555,8.6839,0.9554,14.97274,33.71398,79.82728,30.04799,38.9239,262.0,69.87486,31.2783,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,2.0,10.0,21.0,0.678941,0.138362,42.187,-6.0,3.0,12.641824981675217,13.668357654024568,11.962900024801584,47.5977061976411,12.27516672178131,54.03153869616929,8.598135,394.0,22.6189,4.2179
46,Tumkur,Chiknayakanahalli,3.523035230352303,75.60975609756098,359.0,317.0,64.61473939797902,11.30232558139535,203923.0,12.85150437696734,26.49657949707553,60.9262548151437,15.45974010737739,20.57746096496096,4.0,9.0,6.9062,1.1744,29.8018,17.8792,7.9174,0.1319,11.0157,3.3383,25.12277,1.892812,27.98464,36.18106,23.66587,172.0,81.03863,42.11781,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,2.0,4.0,10.0,11.0,0.866603,0.182443,-4.163,-8.0,1.0,10.186804599412048,56.32704321779063,11.001090791924128,36.99629033517922,78.64574340268784,44.00218931253944,3.503754,369.0,25.0937,4.8912
47,Kalaburgi,Chincholi,9.821428571428571,91.07142857142857,336.0,336.0,98.67478310545822,11.30232558139535,82440.0,18.08302519240019,27.38245336013193,57.66782407407407,37.23217074231684,10.1002745188013,9.0375,26.953846153846154,7.6534,4.1182,60.8767,52.8073,2.2956,1.3904,71.686,4.053,37.98593,17.33815,54.41578,47.56694,29.92772,240.0,39.77679,23.28409,6.0,8.0,4.0,10.0,-0.32888888888888895,2.0,6.0,12.0,0.831238,0.15144,13.2042,1.0,-1.0,10.674648127170283,39.267442900766916,7.38800837334934,60.27642793714222,47.4702380952381,70.49682703665135,6.072752,336.0,33.317,20.265
