,District,Taluk,% Angawadis in rented building,%Anganwadis in Own building,No.of Anganawadi Workers,No. of Anganawadi Helpers,% children in Anganwadi,Sites available for Urban Anagwadi (as per GIS 2022-23),Per Capita Income (at constant prices),Total children age 6-23 months receiving an adequate diet (%),Children under age 3 years breastfed within one hour of birth(%),Children with diarrhoea  who received oral rehydration salts (ORS)(%),Children under 5 years who are underweight (weight-for-age) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),Medical officer-MBBS - Deficit,Health Assistant (male/female) - Deficit,Deprivation % - Households with Not even one household member has completed six years of schooling.,Deprivation % - Households with Any school age children not attending school (6-14),"Deprivation % - Households that have inadequate housing material in either floor, roofor wall",Deprivation % - Households that cook using solid fuel,Deprivation % - Households with no safe drinking water or 30 min away,Deprivation % - Households that have no electricity,Deprivation % - Households with no sanitation facility,Deprivation % - No household member has a bank account or a post office account.,Children age 6 to 59 months who are stunted (height-for-age) (%),Children age 6 to 59 months who are severely wasted (weight-for-height) (%),Children under age 6 months exclusively breastfed(%),Children age 9-35 months who received a vitamin A dose(%),children low birth weight (%),Number of total notification case of Tuberculosis,Children age 12-23 months fully vaccinated based(%),Received Health Insurance (%),Gap in CHC Doctor,Gap in CHC Labtech,Gap in CHC pharmacist,Gap in CHC Staff Nurse( 1shift),Gap in PHC Doctor,Gap in PHC Labtech,Gap in PHC Pharmacist,Gap in PHC Staff Nurse,Number of Asha Working_Per_1000_Population,Number of CHO Working_Per_1000_Population,Gap in number of Subcentre,Gap in number of PHC,Gap in number of CHC,Under5_mortality (per 1000),MMR  (per 1 lakh),infantmortality_Neg,% Adolescent girls aged 15-19 years who are anaemic (%),%Pregnant women age 15-49 years who are anaemic ,%Children age 6-59 months who are anaemic (%),Prevalence of diarrhoea under 5 years of age (%),No. of Anganwadis/UPHCs have conducted at least one Village Health Sanitation & Nutrition day / Urban Health Sanitation & Nutrit,Deprivation % - Households with adult between 15-49 whose BMI is below normal or children under 5 years who are stunted or waste,Deprivation % - Households with with any woman has not received at least 4 antenatal care visits for the most recent birth or ha
58,Bengaluru Rural,Doddaballapura,11.38211382113821,77.50677506775068,368.0,313.0,60.87038128663327,11.30232558139535,187189.0,33.30509965789571,54.95163130637188,78.08245025123429,22.54741686559782,28.89272836249923,5.0,30.0,4.9726,0.3334,20.6934,9.0525,9.4145,1.4538,12.6519,1.7711,45.43453,3.140421,62.01075,70.88169,35.80024,277.0,98.37166,46.54214,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,9.0,4.52,10.0,0.703813,0.104164,12.7784,-6.0,2.0,66.33268111245054,26.70190752698198,15.684883333529271,43.72427785300045,12.76559430058749,57.55637635959224,6.919242,369.0,26.3364,0.8282
59,Gadag,Gadag,18.61861861861862,68.16816816816817,308.0,304.0,69.14921899488566,1.0,147517.0,0.205761316872428,41.8042695473251,85.37808641975309,43.11283650548697,21.66565623162844,3.0,22.0,5.6606,0.9332,57.3674,52.7628,17.4116,0.2701,44.4622,3.7819,42.6354,9.204793,45.10182,49.79152,43.40521,745.0,59.5679,34.7656,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-6.0,1.0,1.0,1.0,0.546724,0.066794,35.266,-3.0,3.0,9.77014060105284,68.14693398447517,40.06550411522633,60.07716049382716,52.23765432098766,74.87185846546738,12.28207,333.0,48.0231,12.8929
60,Gadag,Gajendragad,21.73913043478261,78.26086956521739,132.0,133.0,83.17138249484213,11.30232558139535,110170.0,10.98755411255411,35.27480158730159,61.56520562770563,47.14240781539888,7.137386836047551,5.0,10.0,11.064,2.7252,58.045,71.002,4.3734,0.3264,53.4269,3.6227,63.31332,5.156184,48.94493,18.4577,50.26221,127.0,49.49495,28.23859,6.0,5.0,2.0,5.0,5.0,5.0,5.0,10.0,0.7684136860465115,0.13270830128205127,2.1932,-1.0,1.0752212389380533,12.641824981675217,152.53531205855614,13.673077922077923,61.76348805515472,81.66396103896105,81.56387643451552,12.33958,138.0,58.5836,25.9791
61,Koppal,Gangavathi,59.59595959595959,58.24915824915825,284.0,257.0,70.9127739941941,11.30232558139535,100364.0,0.9382716049382717,67.98522927689595,92.08333333333333,54.78118263766412,2.18342151675485,2.0,3.0,11.622,7.208,52.4835,60.5937,5.5685,0.6015,48.021,5.2581,51.77348,0.055556,40.18004,27.03307,33.39452,508.0,55.83333,29.67122,-2.0,4.0,1.0933333333333333,4.0,1.0,4.0,4.0,3.0,0.807859,0.068714,33.0758,3.0,1.0,12.641824981675217,48.00683144129234,9.464440404040399,33.27777777777778,59.12037037037037,72.70122967032715,8.028808,234.0,43.5875,14.9399
62,Chikballapur,Gauribidanur,11.396011396011396,71.7948717948718,351.0,347.0,71.09548200057012,11.30232558139535,92137.0,4.27312362345257,23.64256126427179,48.27138869902028,26.31055002299519,12.45802123680413,1.0,23.0,13.7927,1.7311,33.4364,7.7738,6.983,0.0073,13.9165,7.4417,23.60919,8.273928,68.19491,34.35397,35.00195,366.0,77.28019,30.74476,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-2.0,7.0,4.0,11.0,0.793455,0.139092,15.2182,-10.0,2.0,12.641824981675217,35.77173715005012,13.87809523740134,50.00245732929004,36.28639939495202,54.52136654808427,0.336257,351.0,36.1949,7.0784
63,Belagavi,Gokak,53.70370370370371,64.35185185185185,204.0,194.0,47.972471695350926,11.30232558139535,106964.0,10.01984126984127,66.66468253968253,96.74107142857143,27.63801068281018,16.00773966994205,9.0375,26.953846153846154,7.0384,4.1078,39.5989,27.3595,5.6899,0.4236,37.9156,3.8556,31.81047,21.64021,52.14903,52.24907,39.23071,756.0,58.33333,21.72212,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-4.0,5.0,5.0,-1.0,0.803368,0.075,36.2622,-1.486725663716814,3.0,1.3447250257572108,27.234901046644445,2.1467678571428563,64.59415584415584,20.33730158730159,72.98582887593008,7.071123,216.0,43.2738,13.2391
64,Tumkur,Gubbi,9.656652360515022,68.45493562231759,461.0,349.0,72.8387346637439,6.0,171715.0,9.265634537282175,31.85301841261593,82.3458456962714,24.84383287514422,22.33148551324044,9.0375,26.953846153846154,7.5247,2.6033,26.9241,31.4779,4.4894,0.2233,8.4742,2.7863,35.52379,2.416202,49.07172,44.48069,35.57902,268.0,79.2382,36.58617,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-8.0,4.0,4.0,29.0,0.906281,0.157941,-5.7672,-12.0,1.0,1.5591014791387952,111.8591902142241,21.68294415760644,57.77000572570946,87.19964794872882,58.3143623207061,3.583367,466.0,24.0685,4.5651
65,Chikballapur,Gudibande,11.200000000000001,76.0,125.0,125.0,88.52033755721054,2.0,88796.0,3.117501711251712,60.17997812372812,31.30333208458209,12.88508585036363,54.45939380835214,9.0375,4.0,13.0822,1.9097,30.7932,3.6989,7.2484,0.021,7.4868,22.8061,16.09204,6.106376,56.64709,66.12678,15.53708,84.0,64.66125,24.58621,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,1.0,-1.0,3.0,0.860201,0.115796,4.1416,-1.0,1.0752212389380533,12.641824981675217,201.8922171612392,0.9758035714285719,29.04897020968449,14.33250777000777,53.30801143337884,0.784091,125.0,27.8724,0.8802
66,Kalaburgi,Gulbarga,71.01648351648352,31.73076923076923,728.0,686.0,63.92380046693764,11.30232558139535,96581.0,19.70672217585798,25.11929295365509,63.65655006858711,36.05316236326338,23.56369055327389,12.0,8.0,7.7577,4.1325,53.6924,45.0992,3.8192,1.8499,58.5111,4.5353,35.14733,6.738683,56.56729,49.82079,24.33531,1941.0,39.18724,22.45893,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-1.0,3.0,3.0,14.0,0.348106,0.039351,132.142,3.0,6.0,10.31195188833905,133.59016128581086,21.547642024587606,59.23608723238353,67.03703703703704,71.05291831304865,12.36204,724.0,34.5964,17.4549
67,Bagalkot,Guledagudda,38.05309734513274,61.94690265486725,108.0,107.0,78.27329870683062,11.30232558139535,192735.0,0.1799242424242425,6.115456513183785,50.0,77.58974358974359,8.06425865800866,1.0,26.953846153846154,4.8421,3.8596,57.193,50.5614,1.9649,1.193,50.1053,10.1053,55.96898,8.833694,78.17419,21.68416,49.86175,86.0,66.36364,24.80307,1.3911111111111112,3.2888888888888888,1.0,2.3200000000000003,-2.0,3.9599999999999995,4.52,-2.0,0.7684136860465115,0.13270830128205127,10.3456,1.0,1.0752212389380533,15.947482084118322,54.83053912678617,10.699720279720282,41.53454184704184,57.57575757575757,34.56080956093434,1.646687,113.0,44.3509,21.614
68,Chamarajanagara,Gundlupet,4.013377926421405,85.28428093645485,279.0,242.0,66.31201987381581,1.0,95368.0,3.480392156862745,21.84066682228447,55.06127450980392,19.56301548397136,32.67117715141612,3.0,15.0,16.7143,2.527,50.1772,8.5206,0.4718,1.5875,24.8329,2.4157,32.74969,1.315126,52.40681,45.54667,34.51112,152.0,92.21814,37.55569,1.0,7.0,3.0,6.0,3.0,11.0,16.0,25.0,0.749303,0.268216,-0.705,-7.0,1.0752212389380533,12.641824981675217,87.96578356138838,13.398739705882349,57.16416122004357,25.40441176470588,69.1381723985975,11.81528,299.0,31.5241,1.3536
69,Yadgir,Gurumithakala,3.9145907473309607,70.8185053380783,268.0,250.0,78.01247433310031,11.30232558139535,112424.0,2.993367871840094,52.96158509700177,49.32870370370371,44.71341139570306,3.050419873336539,2.0,26.953846153846154,24.4171,7.0817,43.7701,67.2058,2.3867,0.2198,65.5727,4.114,66.86515,8.277392,44.92033,57.37312,37.16892,163.0,68.36516,16.2036,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,1.0,2.0,-6.0,0.7684136860465115,0.13270830128205127,25.0464,1.0,1.0,44.87180673710293,6.865923354856757,48.3257793049543,60.35148835768875,53.0054012345679,77.97655091359626,3.55156,274.0,53.2307,4.3652
70,Vijayanagara,Hadagali,5.627705627705628,95.67099567099568,230.0,227.0,95.5575858798445,11.30232558139535,128002.0,3.125,43.2001042938543,57.8125,33.73309676434675,18.76090633903133,9.0375,26.953846153846154,17.0745,1.8386,63.6605,35.3555,4.8145,2.9974,30.1772,17.6227,38.74924,11.79335,56.73927,30.76408,35.06198,234.0,76.08745,30.09865,1.0,4.0,1.0,5.0,-1.0,9.0,3.0,18.0,0.721232,0.129351,1.8146,-4.0,1.0752212389380533,43.32353235156926,89.99966829063615,23.72621582056872,56.35236968719111,51.46901709401709,73.18858745331731,2.480159,231.0,43.1913,11.9057
71,Vijayanagara,Hagaribommanahalli,1.680672268907563,93.69747899159664,233.0,231.0,104.74747754421556,11.30232558139535,152382.0,2.976190476190477,41.85130070546737,58.43253968253968,33.28618669690098,20.39208160115897,9.0375,26.953846153846154,11.4342,3.8517,50.0512,24.8965,7.7848,2.7818,44.7062,17.549,42.09467,9.542706,54.29753,29.32969,40.319,387.0,72.22222,29.33521,2.0,3.0,1.0933333333333333,4.0,-1.0,4.0,-1.0,7.0,0.732992,0.115954,8.3016,1.0,1.0752212389380533,62.05061480568327,36.067909042168814,18.93225732580493,60.19318468127992,53.41710758377425,79.6638912506746,4.315949,238.0,43.4875,16.0232
72,Uttara Kannada,Haliyal,28.22085889570552,89.57055214723927,158.0,147.0,93.09727319956623,7.0,145489.0,10.8994708994709,61.62966787243998,100.0,43.05628319148728,21.65666729654824,9.0375,26.953846153846154,9.6221,4.7742,54.0092,61.3364,1.9171,4.2765,13.5576,8.2581,26.29535,10.29617,24.30704,52.55286,49.62306,75.0,85.42045,23.27058,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,3.9599999999999995,1.0,7.0,0.7684136860465115,0.13270830128205127,14.16367,-2.0,1.0,17.48264143399747,15.959178535630201,37.20651247165534,38.50512566137566,26.48037918871252,81.25736961451247,9.203545,163.0,39.5945,1.9631
73,Haveri,Hangal,11.285266457680251,83.38557993730407,315.0,317.0,87.72688920021993,11.30232558139535,102786.0,1.863606770833333,38.36032120639054,48.03602430555556,33.62600615530303,17.2226884263017,4.0,26.953846153846154,5.3035,1.7195,41.1558,46.2642,2.7735,0.2035,20.4736,8.2839,47.94367,5.555556,43.2146,37.76049,54.85047,187.0,71.76758,32.07592,4.0,4.0,2.0,1.0,-0.32888888888888895,12.0,5.0,-1.0,0.932894,0.131784,43.52567,-1.0,2.0,43.34162906516641,29.670000186484533,22.28092069245414,46.5343501984127,67.39908854166666,71.28801688784804,9.037027,319.0,33.6358,16.1808
74,Vijayanagara,Harapanahalli,10.485933503836318,82.86445012787725,386.0,362.0,89.74150764650156,11.30232558139535,92793.0,6.25,28.8985177404295,19.85294117647058,24.42985527544351,21.64449112978521,2.0,10.0,12.9445,4.0549,52.3394,43.9177,14.0986,3.5558,40.4866,10.0749,38.20028,8.956583,37.60692,31.72502,31.85468,347.0,90.31863,34.10847,7.0,9.0,4.0,9.0,-0.32888888888888895,7.0,10.0,30.0,0.743043,0.105264,12.136,-9.0,1.0752212389380533,17.856584128261513,79.93801876500618,11.869159245166598,32.49766573295985,69.0359477124183,67.4054621847745,4.207516,391.0,42.1709,12.8509
75,Davanagere,Harihar,32.549019607843135,60.78431372549019,255.0,249.0,61.027140680836986,1.0,112330.0,5.57716049382716,29.05065724206349,60.79861111111111,35.19305107749118,19.78484623015873,1.0,26.953846153846154,3.0576,0.1616,37.5852,29.5153,7.5061,0.144,17.1549,4.2483,34.68419,7.7282541548672565,53.54529,41.5997,49.44317,244.0,77.65046,26.70748,2.0,4.0,2.0,1.0,-1.0,3.0,4.0,15.0,0.640564,0.079171,13.5056,-4.0,1.0,1.9110129558586944,88.76763295181706,22.095417734905727,49.78929673721341,26.93287037037037,63.48740630479687,6.978805,255.0,30.9413,27.8714
76,Hassan,Hassan,5.59610705596107,68.61313868613139,406.0,364.0,35.54917693562067,11.30232558139535,200009.0,20.08806225955616,39.86119292998104,43.8641169128974,26.80392236489797,25.1588662670163,3.0,16.0,8.7276,0.1466,42.6757,16.1832,1.5687,0.1585,18.1345,2.872,13.27335,3.42922,59.63754,50.60469,38.20566,407.0,72.01707,33.68981,-1.0,8.0,5.0,2.0,-3.0,4.0,12.0,36.0,0.59662,0.13270830128205127,52.19467,-7.0,1.0,7.125580978876524,25.555959043334344,6.227049612988636,30.6559866849501,57.99627004657492,71.22663467958898,4.271936,411.0,23.5255,5.7947
77,Haveri,Haveri,13.780918727915195,73.85159010600707,281.0,270.0,85.22492543436663,11.30232558139535,124963.0,0.4971590909090909,43.28658046236171,49.52651515151515,34.60881132756133,17.52714339006953,3.0,26.953846153846154,5.2654,1.9388,46.7257,41.7434,2.1251,0.3546,24.6894,9.1099,57.66003,7.7282541548672565,36.6814,39.23228,51.82492,452.0,72.5,28.67499,2.0,4.0,2.0,3.0,-2.0,8.0,1.0,9.0,0.769164,0.089736,13.4294,-4.0,1.0,12.95875258212834,84.86342851814727,16.841084598150708,44.18547077922078,67.8030303030303,70.17161195335291,9.163961,283.0,37.4423,19.0719
78,Udupi,Hebri,3.278688524590164,96.72131147540983,61.0,61.0,70.57743905390855,11.30232558139535,359778.0,7.682291666666666,29.77430555555556,87.5,21.90124834656084,35.29513888888889,9.0375,2.0,3.3898,1.0469,16.5503,47.1087,39.2822,0.3988,3.2901,4.575787610619469,26.01025,11.41782,43.1237,45.51576,33.7498,253.47787610619469,86.54514,58.02399,1.0,3.0,2.0,4.0,-0.32888888888888895,3.9599999999999995,2.0,2.0,0.7684136860465115,0.13270830128205127,-3.91933,1.0,-1.0,17.48264143399747,63.82098673628756,4.857333333333335,56.97321428571428,42.36111111111111,59.51552353975,1.5625,61.0,48.1555,11.8644
79,Mysuru,Heggadadevanakote,1.8276762402088773,87.72845953002611,242.0,205.0,72.14097998795272,11.30232558139535,110973.0,3.868991091213313,8.85517676675911,52.88329725829725,17.66619397916245,18.53739389652088,2.0,16.0,9.1564,0.3568,41.1622,6.1234,2.211,1.9307,26.354,3.2688,39.87591,1.575092,77.66518,44.93434,67.2383,121.0,92.77746,28.68365,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,2.0,5.0,7.0,12.0,0.832988,0.256574,7.127,-1.0,1.0,12.641824981675217,36.00516496888039,7.155892857012749,49.5620433275105,16.30217262161707,84.54483161669174,5.877191,242.0,42.3665,9.9656
80,Haveri,Hirekerur,18.64406779661017,72.31638418079096,177.0,176.0,75.35739810328819,11.30232558139535,105330.0,6.49956597222222,30.63504205935847,83.91203703703704,32.20448063221501,25.55672752450096,9.0375,26.953846153846154,6.7009,3.5813,52.3551,48.4659,3.7455,1.091574778761062,31.3289,7.1113,34.08138,1.041667,47.50827,35.63492,44.22157,254.0,74.9349,26.45063,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,3.0,3.0,2.0,0.906636,0.153734,15.269,-1.486725663716814,1.0,33.82275771306723,29.670000186484533,5.54371035724896,51.17931547619048,47.65625,75.44511521428883,10.1824,177.0,38.5428,10.6927
81,Chitradurga,Hiriyur,9.933774834437086,72.62693156732892,445.0,408.0,76.74441153121981,10.0,127522.0,24.79155393217894,41.57010957792208,100.0,41.18021192705536,29.30980803708076,2.0,12.0,7.6981,1.4623,49.9735,24.0608,8.9922,0.0897,32.4512,0.7267,42.78196,10.12226,70.04092,44.45126,43.57835,368.0,82.2188,39.81236,3.0,8.0,4.0,10.0,1.0,7.0,13.0,21.0,0.805689,0.085983,-3.2986,-14.0,1.0752212389380533,12.641824981675217,50.720471223105434,8.387623874802445,33.71702003804276,36.76647426647427,45.41201051397732,4.911496,453.0,31.6198,5.7521
82,Chitradurga,Holalkere,7.457627118644068,72.54237288135593,287.0,262.0,68.93353491972647,6.0,116701.0,14.45562653940887,37.25449503316652,100.0,34.0023839772403,34.20657663753413,1.0,26.953846153846154,8.6372,0.0114,45.976,21.3511,4.2759,0.0228,54.804,0.9679,46.59002,2.41931,71.29446,47.64242,46.61355,287.0,99.74771,34.72795,3.0,4.0,2.0,4.0,-3.0,7.0,12.0,14.0,0.898373,0.169001,-15.0854,-7.0,1.0752212389380533,12.641824981675217,121.90842336651203,10.324539447963096,50.37482477099164,28.04095967889071,46.88342543912981,5.477126,295.0,28.9208,6.1634
83,Hassan,Holenarasipura,8.745247148288973,80.22813688212928,260.0,248.0,57.248407481920204,11.30232558139535,163557.0,11.51381893569394,45.73701982128321,41.9901048026048,10.65521501068376,16.69960674796984,2.0,37.0,8.7387,0.013,40.4685,16.9556,1.828,0.4737,17.7993,1.4228,34.80853,1.958554,63.01752,53.63392,19.95162,123.0,59.87345,34.96823,5.0,12.0,6.0,11.0,1.0,4.0,14.0,23.0,0.811857,0.13270830128205127,-13.5128,-11.0,-2.0,8.234004686701757,43.69520441035921,1.1809725274725267,41.63957061457062,12.35532407407407,52.64737436285326,3.777871,263.0,23.6442,6.1743
84,Davanagere,Honnali,17.741935483870968,69.89247311827957,186.0,177.0,59.676533574144784,2.0,143441.0,3.705300127713921,34.72687465790914,59.1235632183908,41.07775962795718,26.32068737456668,9.0375,26.953846153846154,3.6271,0.1919,48.6232,22.2327,8.8406,1.0537,15.2291,4.2382,43.16954,0.45977,50.38011,45.50324,44.19183,193.0,61.4751,33.44971,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,1.0,2.0,9.0,0.952147,0.100863,25.91067,-1.486725663716814,1.0,10.134159614402167,235.15857849833327,47.02809148263826,42.95174238277686,32.54150702426565,67.54700328405076,6.090174,184.0,30.9322,9.3772
85,Uttara Kannada,Honnavar,17.23076923076923,54.46153846153846,320.0,313.0,68.50538396559051,2.0,182533.0,4.328703703703703,57.02922912992357,100.0,36.06773561229581,24.62032487892277,1.0,26.953846153846154,5.1345,3.4094,16.0755,36.6328,28.8465,1.4773,8.0071,3.2294,37.36801,22.04146,59.76116,39.69365,38.75502,110.0,81.09311,36.97749,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,6.0,8.0,8.0,0.989131,0.204648,18.599,-3.0,2.0,0.6333849759001354,15.959178535630201,15.381555554514701,44.09881736970291,35.60828189300411,63.15504861223752,3.925776,325.0,30.3226,16.8005
86,Chitradurga,Hosadurga,11.294765840220386,82.36914600550963,360.0,316.0,69.98733195028885,16.0,156114.0,12.24355910293411,34.1010158272063,100.0,28.61332049295012,36.472084972457,9.0375,26.953846153846154,9.1267,0.0303,45.578,20.8582,10.7673,0.2524,47.8571,1.1282,39.39425,4.43909,74.20515,50.20576,51.50583,232.0,93.04616,44.2304,8.0,12.0,4.0,9.0,-0.32888888888888895,5.0,7.0,5.0,0.845143,0.097817,-2.9618,-1.486725663716814,-1.0,12.641824981675217,88.91066957271731,26.074581208914548,20.25761847630083,24.95841350008017,62.6078822423333,10.5307,363.0,27.4281,12.7284
87,Shimoga,Hosanagar,6.666666666666667,85.21739130434783,342.0,201.0,59.62708596210632,1.0,199376.0,5.736772486772485,22.9524250440917,47.71693121693122,25.29247337438061,21.78645096452636,5.0,3.0,8.8255,2.2506,63.5792,35.0897,6.3703,0.1894,18.5501,1.4246,33.88672,5.602667,58.95212,46.46927,26.022,50.0,92.40741,35.36656,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,3.0,7.0,6.0,8.0,1.063447,0.223884,-0.49,-5.0,1.0,30.787867130907053,19.998886990372736,1.734761905282333,39.91997354497354,27.22668650793651,70.7728744628494,6.205596,206.0,38.3304,3.8697
88,Bengaluru Rural,Hoskote,5.161290322580645,77.74193548387098,307.0,290.0,73.18923810523388,11.30232558139535,189454.0,7.4382215007215,53.25974723854188,86.54637359994503,56.15004018995303,20.02823166829862,9.0375,26.953846153846154,3.1856,0.219,19.7115,4.5325,5.5474,0.7125,10.9854,4.8662,44.2977,5.068178,55.59997,45.79903,32.28914,210.0,96.65145,36.47422,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-6.0,2.0,2.0,2.0,0.774965,0.131296,12.8196,-2.0,2.0,66.33268111245054,26.70190752698198,3.4246058673469393,37.46132510468713,43.09352023637738,49.28995351537098,2.749412,310.0,32.082,2.6416
89,Vijayanagara,Hospet,34.411764705882355,55.294117647058826,340.0,330.0,64.779253609546,8.0,127623.0,7.194940476190475,38.0850281084656,58.58630952380952,34.40199829931973,20.73612292139077,4.0,5.0,9.6392,3.966,44.4001,20.2612,6.3004,1.9916,42.7404,13.2021,43.5154,10.90174,55.0243,26.19905,42.39777,306.0,71.48313,28.46228,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,6.0,3.0,13.0,0.429926,0.026976,73.471,4.0,3.0,36.83767019835187,83.49944851861349,15.724635699910985,60.97574168556311,55.3125,78.90614370755357,5.607285,340.0,42.0766,19.3581
90,Dharwad,Hubballi Nagara,0.22935779816513763,7.79816513761468,411.0,421.0,79.84964273707456,11.30232558139535,190130.85840707965,9.144587928282016,44.81868767389412,70.71426983176354,32.48495952958078,20.07278047842291,1.0,26.953846153846154,8.635116371681416,2.929547345132743,41.66093539823009,32.26928761061947,8.390566371681416,1.0915747787610621,29.98797743362832,4.575787610619469,37.787670668141594,7.7282541548672565,57.72032915929203,43.152755132743366,35.22088421681416,253.47787610619469,70.52769184513275,31.445334942477874,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.32,-0.3288888888888889,3.96,4.52,8.351111111111111,0.7684136860465115,0.13270830128205127,31.636294415929203,-1.4867256637168142,1.075221238938053,21.900354111236624,71.02019045764418,21.01939211819618,49.82521161944135,43.98352279175303,64.24392342348695,5.619505725663718,436.0,36.52447831858407,9.790121681415929
91,Dharwad,Hubli,6.8493150684931505,93.15068493150685,140.0,141.0,90.38991364028249,3.0,1164890.0,12.94934640522876,72.93444113756614,61.71875,48.13946007696008,13.85306437389771,12.0,24.0,4.1488,5.1991,48.9103,35.0897,24.5427,0.7615,30.9234,4.0963,55.11409,10.20241,57.88876,47.11481,39.67502,73.0,63.54167,24.11607,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-2.0,3.9599999999999995,1.0,5.0,1.671051,0.13270830128205127,150.6848,4.0,5.0,9.77014060105284,212.18688062658802,47.04552548036759,44.3558331592871,63.90817901234568,56.76327260726588,6.749132,146.0,41.3479,7.081
92,Belagavi,Hukkeri,25.21186440677966,67.16101694915254,459.0,437.0,76.56074319740657,11.30232558139535,106382.0,14.31406590413943,62.25208324070369,96.44097222222223,25.12380811626168,17.46686031782709,7.0,15.0,7.471,3.8613,26.3715,17.5499,11.3203,0.1943,28.7891,3.8373,29.23373,12.65017,49.89974,51.21302,42.44876,264.0,64.51457,24.97414,-3.0,2.0,1.0933333333333333,-1.0,-8.0,3.0,4.52,9.0,0.734113,0.088983,93.91033,2.0,2.0,2.0601679742435985,62.976259469917714,5.967495915032679,60.77055962676877,24.34300108932462,73.62294205460216,10.88597,472.0,39.4188,15.8628
93,Bidar,Hulasuru,16.666666666666664,83.33333333333334,162.0,103.0,258.91030402307035,11.30232558139535,211174.0,1.822916666666667,21.49305555555555,94.27083333333333,45.23809523809523,22.50623797498798,2.0,4.0,9.0167,0.6441,36.754,37.0331,2.8338,3.6926,45.5131,2.7909,65.06696,7.7282541548672565,69.54985,33.11198,48.87806,132.0,85.76389,40.34091,6.0,5.0,2.0,5.0,2.0,2.0,2.0,4.0,0.7684136860465115,0.13270830128205127,0.8854,-1.0,-1.0,12.641824981675217,19.527230355019928,46.903625000000005,43.33912037037037,31.25,83.06840728614584,18.1713,180.0,44.9549,6.3547
94,Bidar,Humnabad,37.74834437086093,66.88741721854305,205.0,198.0,75.55644924836497,11.30232558139535,102381.0,8.83719715956558,51.23555416318574,63.91447368421052,32.81312660698626,12.38372393525901,9.0375,8.0,8.6165,6.7216,42.6433,39.1143,10.0721,2.1902,54.8644,9.3924,33.09929,13.98113,60.65099,30.6134,35.89669,468.0,32.94225,22.286,-2.0,3.0,1.0933333333333333,2.3200000000000003,-3.0,3.9599999999999995,4.52,3.0,0.659425,0.095723,15.0348,2.0,1.0752212389380533,12.641824981675217,22.341691088370357,21.745108877714603,58.73189919242551,67.52741228070175,75.38990310341362,13.59649,151.0,46.6941,15.345
95,Bagalkot,Hungund,58.333333333333336,59.895833333333336,199.0,197.0,97.02797437013716,1.0,232010.0,0.9662698412698412,18.99163832199547,40.25793650793651,50.62197475143903,3.391546201814057,1.0,26.953846153846154,11.5267,2.4234,35.1101,60.7071,1.5983,0.3251,48.6012,1.1721,49.07275,1.232363,69.88663,40.05917,33.9963,181.0,73.29365,22.14386,3.0,3.0,1.0933333333333333,5.0,-1.0,-1.0,1.0,1.0,0.791504,0.077809,6.7292,-4.0,1.0752212389380533,12.48776647995108,88.31774635772395,1.8390144230488996,62.44712537792895,59.39814814814815,59.10088897094728,1.458791,192.0,47.4127,6.3303
96,Yadgir,Hunisigi,42.51968503937008,57.48031496062992,229.0,225.0,86.19565854941713,11.30232558139535,103933.0,0.8192355889724311,51.02217326324469,49.3734335839599,43.01087947140579,8.026367429562919,9.0375,26.953846153846154,14.5681,3.3225,52.9434,59.8824,11.9612,0.2726,66.1101,1.2694,57.24958,6.31204,54.74916,48.80789,33.01537,134.0,38.53383,20.90816,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-2.0,1.0,4.52,-2.0,0.7684136860465115,0.13270830128205127,22.4792,4.0,1.0,16.26411008196175,241.76946954474462,8.416500341763498,44.13685254803676,47.49443052074631,80.05982382595019,6.459211,234.0,55.3927,19.1685
